barcode,brand_id,categories,cost_price,description,id,inventory_level,inventory_warning_level,name,price,url_image
02-5757630,SKOTTORP,Furniture,699,The supporting seat cushions,1,81,20,Sofa Gunnared dark gray/metal,1188.3,https://www.ikea.com/ca/en/images/products/morabo-3-seat-sofa__0602115_PE680184_S5.JPG?f=s
46-4498670,SKAFTET,Lighting,87.99,Floor lamp base provides overhead lighting with no ceiling outlet.,2,56,10,Floor lamp,149.58,https://www.ikea.com/ca/en/images/products/skottorp-skaftet-floor-lamp-arched__0856912_PE780859_S5.JPG?f=xxs
82-6273846,Taylor,Musical Instruments,179.9, The newly-redesigned Mini Strat V2 offers all the superior elements of the Fender Bullet Strat.,3,34,5,Electric Guitar,305.83,https://stuff.fendergarage.com/images/y/3/H/fcwm-products-electric-guitar-02-hero-strat.jpg
65-5757630,KitchenAid,Appliances,34.993,Five speeds let you mix ingredients for a variety of recipes with speed 1 perfect for slowly stirring in chunky ingredients like nuts and chocolate and speed 5 being great for whipping egg whites or heavy cream,4,81,20,Hand Mixer,49.99,https://multimedia.bbycastatic.ca/multimedia/products/500x500/109/10971/10971458.jpg 
12-6356364,Samsonite,Luggage & Bags,83.993,Designed to fit your casual lifestyle this Samsonite Modern Utility Double Shot laptop backpack will quickly become your go to business accessory,5,94,11,Laptop Backpack,119.99,https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11642/11642317.jpg 
18-6745676,Samsung,Home Audio,139.993,Kit includes a wireless receiver and 2 rear speakers,6,89,26,Wireless Rear Speaker,199.99,https://multimedia.bbycastatic.ca/multimedia/products/1500x1500/105/10584/10584524.jpg 
04-5434345,Samsung,Appliances,2799.99," It features a 21.5"" Wi-Fi-enabled touchscreen on the door to put a kitchen command center at your fingertips.",7,43,5,CuFt French Door Refrigerator - Stainless Steel,4759.98,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS9ws7sIHy3KXlRdhrEdFbtKppH9lJth4GweKkYCbyz3PAh3lASbMxgjeCq7NUEJpM5RDneZ9o&usqp=Cac
23-3653643,Panasonic,Appliances,220.99,From quick snacks to family meals. The Panasonic Genius microwave makes food prep a snap,8,32,10,Genius 1.3 Cu. Ft. Microwave,375.68,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS11QfwiMqENQxdeQc1-hfW7dF-HRZvlNwHUPJotmLNqmm-8sNpv2p_Tqw6bCMSvwtyrBhr7ooN&usqp=Cac
45-342344,Tessu,Furniture,999,The Tessu upholstered bed is covered with a linen-feel polyester fabric blend,9,54,12,Tessu bed,1698.3,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSNKogNKrM97-l3_fo-5gnwx0Ajy4j8dcUGYbovdsQ0k1URyZoJMrk-QgfFDkFOz7FNO7rKheM&usqp=Cac
34-354533,Seno,Furniture,1249.99,The Seno walnut dining table hosts your family plus some friends,10,34,6,Seno table ,2124.983,https://cdn-images.article.com/products/SKU380/2890x1500/image16239.jpg?fit=max&w=1300&q=80&fm=webp
